P_0063,Ergonomic Keyboard,Electronics,Metal monitor stand with storage drawer,113.35,Each,S158,KeyTech Inc.,8,32,USD
P_0064,Standing Desk,Electronics,"Portable SSD with 1TB capacity, USB 3.2",200.03,Each,S184,StandSolutions,6,33,USD
P_0065,Webcam HD,Electronics,"Portable SSD with 1TB capacity, USB 3.2",241.96,Each,S163,StandSolutions,3,5,USD
P_0066,Monitor Stand,Office Accessories,"Portable SSD with 1TB capacity, USB 3.2",21.13,Each,S134,VisionCam,3,31,USD
P_0067,Webcam HD,Office Furniture,USB-C docking station with multiple ports,249.47,Each,S185,MouseWare,4,46,USD
P_0068,Monitor Stand,Electronics,"Portable SSD with 1TB capacity, USB 3.2",235.1,Each,S119,VisionCam,12,15,USD
P_0069,USB-C Docking Station,Electronics,1080p HD webcam with privacy shutter,206.13,Each,S180,MouseWare,7,12,USD
P_0070,Wireless Mouse,Office Accessories,Bluetooth ergonomic keyboard with customizable keys,272.62,Each,S111,VisionCam,14,32,USD
P_0071,Noise Cancelling Headphones,Electronics,Wireless mouse with multi-device connectivity,245.98,Each,S173,VisionCam,3,24,USD
P_0072,Webcam HD,Electronics,Bluetooth ergonomic keyboard with customizable keys,121.43,Each,S122,VisionCam,14,6,USD
P_0073,Standing Desk,Electronics,Wireless mouse with multi-device connectivity,259.56,Each,S164,KeyTech Inc.,14,29,USD
P_0074,Portable SSD,Office Furniture,Bluetooth ergonomic keyboard with customizable keys,58.97,Each,S114,SpeedStorage,4,16,USD
P_0075,Noise Cancelling Headphones,Office Accessories,Adjustable height standing desk with memory settings,267.14,Each,S193,QuietSpace,6,27,USD
P_0076,USB-C Docking Station,Office Furniture,Adjustable height standing desk with memory settings,151.9,Each,S123,DeskoFlex,14,38,USD
P_0077,Wireless Mouse,Office Accessories,"Portable SSD with 1TB capacity, USB 3.2",37.14,Each,S191,MouseWare,8,49,USD
P_0078,Ergonomic Keyboard,Electronics,Adjustable height standing desk with memory settings,92.36,Each,S183,StandSolutions,10,19,USD
P_0079,Portable SSD,Electronics,Metal monitor stand with storage drawer,139.0,Each,S112,KeyTech Inc.,10,22,USD
P_0080,Noise Cancelling Headphones,Electronics,USB-C docking station with multiple ports,234.35,Each,S173,KeyTech Inc.,9,42,USD
P_0081,Portable SSD,Office Furniture,1080p HD webcam with privacy shutter,92.09,Each,S182,KeyTech Inc.,3,18,USD
P_0082,Portable SSD,Office Furniture,Wireless mouse with multi-device connectivity,81.56,Each,S135,StandSolutions,1,27,USD
P_0083,Noise Cancelling Headphones,Electronics,1080p HD webcam with privacy shutter,165.18,Each,S162,MouseWare,14,11,USD
P_0084,Standing Desk,Electronics,Metal monitor stand with storage drawer,55.72,Each,S110,SpeedStorage,13,23,USD
P_0085,Portable SSD,Office Furniture,Metal monitor stand with storage drawer,131.14,Each,S195,ConnectTech,14,22,USD
P_0086,Wireless Mouse,Electronics,Over-ear noise cancelling headphones with microphone,79.15,Each,S124,QuietSpace,14,8,USD
P_0087,Monitor Stand,Electronics,"Portable SSD with 1TB capacity, USB 3.2",173.03,Each,S118,StandSolutions,11,39,USD
P_0088,Noise Cancelling Headphones,Electronics,USB-C docking station with multiple ports,152.9,Each,S131,SpeedStorage,14,31,USD
P_0089,Wireless Mouse,Office Accessories,Metal monitor stand with storage drawer,244.64,Each,S149,MouseWare,5,29,USD
P_0090,Webcam HD,Office Accessories,USB-C docking station with multiple ports,55.0,Each,S150,VisionCam,12,10,USD
P_0091,Noise Cancelling Headphones,Electronics,Wireless mouse with multi-device connectivity,173.73,Each,S123,StandSolutions,1,12,USD
P_0092,Webcam HD,Office Accessories,Adjustable height standing desk with memory settings,149.21,Each,S194,QuietSpace,11,5,USD
P_0093,Standing Desk,Office Accessories,Adjustable height standing desk with memory settings,185.63,Each,S107,DeskoFlex,8,35,USD
P_0094,Noise Cancelling Headphones,Electronics,1080p HD webcam with privacy shutter,172.05,Each,S155,ConnectTech,7,19,USD
P_0095,Wireless Mouse,Electronics,Bluetooth ergonomic keyboard with customizable keys,250.23,Each,S190,DeskoFlex,1,45,USD
P_0096,Portable SSD,Office Accessories,Metal monitor stand with storage drawer,119.75,Each,S145,VisionCam,11,37,USD
P_0097,Standing Desk,Electronics,"Portable SSD with 1TB capacity, USB 3.2",258.25,Each,S124,SpeedStorage,5,24,USD
P_0098,Standing Desk,Electronics,"Portable SSD with 1TB capacity, USB 3.2",100.72,Each,S153,SpeedStorage,3,48,USD
P_0099,Monitor Stand,Electronics,Wireless mouse with multi-device connectivity,209.94,Each,S164,StandSolutions,14,8,USD
P_0100,Ergonomic Keyboard,Electronics,Bluetooth ergonomic keyboard with customizable keys,266.36,Each,S131,StandSolutions,14,47,USD
P_0101,USB-C Docking Station,Electronics,Wireless mouse with multi-device connectivity,88.07,Each,S167,KeyTech Inc.,4,10,USD
P_0102,Wireless Mouse,Electronics,Wireless mouse with multi-device connectivity,264.74,Each,S133,KeyTech Inc.,8,20,USD
P_0103,Monitor Stand,Electronics,Adjustable height standing desk with memory settings,217.67,Each,S141,DeskoFlex,2,22,USD
P_0104,Standing Desk,Electronics,Over-ear noise cancelling headphones with microphone,150.6,Each,S110,MouseWare,5,12,USD
P_0105,USB-C Docking Station,Electronics,USB-C docking station with multiple ports,124.52,Each,S122,SpeedStorage,10,23,USD
P_0106,Monitor Stand,Electronics,Metal monitor stand with storage drawer,60.01,Each,S191,MouseWare,1,18,USD
P_0107,Monitor Stand,Electronics,Over-ear noise cancelling headphones with microphone,222.29,Each,S174,VisionCam,4,27,USD
P_0108,Webcam HD,Electronics,"Portable SSD with 1TB capacity, USB 3.2",59.21,Each,S180,SpeedStorage,13,43,USD
P_0109,Portable SSD,Electronics,Adjustable height standing desk with memory settings,227.34,Each,S128,MouseWare,2,22,USD
P_0110,Ergonomic Keyboard,Office Furniture,"Portable SSD with 1TB capacity, USB 3.2",95.24,Each,S183,ConnectTech,11,32,USD
P_0111,Monitor Stand,Electronics,"Portable SSD with 1TB capacity, USB 3.2",287.93,Each,S197,StandSolutions,11,36,USD
P_0112,USB-C Docking Station,Electronics,Over-ear noise cancelling headphones with microphone,214.86,Each,S165,SpeedStorage,10,44,USD
P_0113,Ergonomic Keyboard,Electronics,Adjustable height standing desk with memory settings,47.05,Each,S177,MouseWare,5,40,USD
P_0114,Monitor Stand,Electronics,Over-ear noise cancelling headphones with microphone,174.73,Each,S196,DeskoFlex,4,17,USD
P_0115,Wireless Mouse,Electronics,Metal monitor stand with storage drawer,259.46,Each,S177,ConnectTech,2,7,USD
P_0116,Webcam HD,Electronics,1080p HD webcam with privacy shutter,207.64,Each,S155,VisionCam,11,36,USD
P_0117,Webcam HD,Electronics,"Portable SSD with 1TB capacity, USB 3.2",271.74,Each,S129,SpeedStorage,8,25,USD
P_0118,Portable SSD,Electronics,Adjustable height standing desk with memory settings,174.57,Each,S120,ConnectTech,9,48,USD
P_0119,Monitor Stand,Electronics,Over-ear noise cancelling headphones with microphone,54.44,Each,S187,ConnectTech,2,42,USD
P_0120,Wireless Mouse,Electronics,"Portable SSD with 1TB capacity, USB 3.2",274.64,Each,S131,VisionCam,2,19,USD
P_0121,Portable SSD,Electronics,"Portable SSD with 1TB capacity, USB 3.2",139.25,Each,S132,ConnectTech,3,21,USD
P_0122,Portable SSD,Office Furniture,USB-C docking station with multiple ports,173.51,Each,S155,ConnectTech,4,23,USD
P_0123,Monitor Stand,Office Accessories,Wireless mouse with multi-device connectivity,226.09,Each,S187,StandSolutions,7,41,USD
P_0124,Webcam HD,Electronics,USB-C docking station with multiple ports,32.69,Each,S191,StandSolutions,1,6,USD
P_0125,Ergonomic Keyboard,Electronics,Over-ear noise cancelling headphones with microphone,31.94,Each,S198,ConnectTech,3,21,USD
P_0126,Ergonomic Keyboard,Electronics,Bluetooth ergonomic keyboard with customizable keys,24.18,Each,S198,MouseWare,9,18,USD
P_0127,Ergonomic Keyboard,Electronics,Adjustable height standing desk with memory settings,246.97,Each,S105,KeyTech Inc.,11,15,USD
P_0128,Portable SSD,Electronics,1080p HD webcam with privacy shutter,136.17,Each,S159,StandSolutions,7,45,USD
P_0129,Webcam HD,Office Furniture,1080p HD webcam with privacy shutter,191.59,Each,S149,KeyTech Inc.,2,16,USD
P_0130,Standing Desk,Electronics,1080p HD webcam with privacy shutter,123.97,Each,S146,ConnectTech,2,34,USD
P_0131,USB-C Docking Station,Electronics,Adjustable height standing desk with memory settings,186.7,Each,S114,KeyTech Inc.,4,19,USD
P_0132,Wireless Mouse,Electronics,USB-C docking station with multiple ports,284.58,Each,S180,DeskoFlex,5,6,USD
P_0133,Wireless Mouse,Electronics,1080p HD webcam with privacy shutter,140.16,Each,S145,VisionCam,6,46,USD
P_0134,USB-C Docking Station,Office Accessories,Bluetooth ergonomic keyboard with customizable keys,175.77,Each,S188,QuietSpace,12,37,USD
P_0135,Ergonomic Keyboard,Electronics,Over-ear noise cancelling headphones with microphone,102.73,Each,S173,DeskoFlex,8,17,USD
P_0136,Noise Cancelling Headphones,Electronics,Over-ear noise cancelling headphones with microphone,259.54,Each,S110,StandSolutions,9,35,USD
P_0137,Webcam HD,Electronics,Metal monitor stand with storage drawer,137.67,Each,S172,StandSolutions,2,29,USD
P_0138,Portable SSD,Electronics,1080p HD webcam with privacy shutter,264.95,Each,S175,QuietSpace,9,35,USD
P_0139,Noise Cancelling Headphones,Electronics,1080p HD webcam with privacy shutter,215.52,Each,S133,DeskoFlex,6,35,USD
P_0140,Monitor Stand,Electronics,USB-C docking station with multiple ports,271.68,Each,S169,StandSolutions,1,48,USD
P_0141,Monitor Stand,Electronics,1080p HD webcam with privacy shutter,111.72,Each,S155,MouseWare,3,27,USD
P_0142,Standing Desk,Electronics,Wireless mouse with multi-device connectivity,40.28,Each,S192,ConnectTech,12,31,USD
P_0143,USB-C Docking Station,Office Furniture,1080p HD webcam with privacy shutter,84.52,Each,S163,StandSolutions,10,24,USD
P_0144,Webcam HD,Electronics,1080p HD webcam with privacy shutter,154.0,Each,S154,VisionCam,4,19,USD
P_0145,Standing Desk,Electronics,Adjustable height standing desk with memory settings,240.31,Each,S190,ConnectTech,8,15,USD
